Image Number in Database,AvgResponseRating,,,Image Number,CNN,Human,Same Prediction
AD18-R,40.8666667,,,,,,
AD19-L,48.5333333,,,,,,
AD19-R,30.1428571,,,,,,
AD20-L,28.875,,,,,,
AD20-R,62.2857143,,,,,,
AD21-L,51.0666667,,,,,,
AD21-R,39,,,,,,
AD22-L,58.3333333,,,,,,
AD22-R,67.3076923,,,,,,
AD23-L,14.2,,,,,,
AD23-R,47,,,,,,
AD24-L,35.5384615,,,,,,
AD24-R,49.0666667,,,,,,
AD25-L,50.2307692,,,,,,
AD25-R,54.1333333,,,,,,
AD26-L,14.6,,,,,,
AD26-R,55.7333333,,,,,,
AD27-L,64.2666667,,,,,,
AD27-R,46,,,,,,
AD28-L,60.0666667,,,,,,
AD28-R,39.7333333,,,,,,
AD29-L,60.3571429,,,,,,
AD29-R,32.8571429,,,,,,
AD30-L,56.8666667,,,,,,
AD30-R,17.2857143,,,,,,
AD31-L,40.9285714,,,,,,
AD31-R,24.4,,,,,,
AD32-L,61.3846154,,,,,,
AD32-R,50.5333333,,,,,,
AD33-L,21.2857143,,,,,,
AD33-R,,,,,,,
AD34-L,12.7142857,,,,,,
AD34-R,43,,,,,,
AD35-L,41.1333333,,,,,,
AD35-R,,,,,,,
AD36-L,70,,,,,,
AD36-R,28.8666667,,,,,,
AD37-L,,,,,,,
AD37-R,52.1333333,,,,,,
AD38-L,,,,,,,
AD38-R,65.5333333,,,,,,
AD39-L,,,,,,,
AD39-R,58.3846154,,,,,,
AD40-L,67.7666667,,,,,,
AD40-R,,,,,,,
AD41-L,45.9333333,,,,,,
AD41-R,,,,,,,
AD42-L,,,,,,,
AD42-R,62.3571429,,,,,,
AD43-L,48.6666667,,,,,,
AD43-R,,,,,,,
AD44-L,,,,,,,
AD44-R,,,,,,,
AD45-L,78.2,,,,,,
AD45-R,,,,,,,
AD46-L,,,,,,,
AD46-R,,,,,,,
AD47-L,52.7142857,,,,,,
AD47-R,,,,,,,
AD48-L,,,,,,,
AD48-R,53,,,,,,
AD49-L,,,,,,,
AD49-R,,,,,,,
AD50-L,,,,,,,
AD50-R,,,,,,,
AD51-L,,,,,,,
AD51-R,,,,,,,
AD52-L,,,,,,,
AD52-R,57.0714286,,,,,,
AD53-L,,,,,,,
AD53-R,48.6428571,,,,,,
AD54-L,65.0714286,,,,,,
AD54-R,,,,,,,
AD55-L,,,,,,,
AD55-R,56.9333333,,,,,,
N1-L,68.5333333,,,,,,
N1-R,55.4,,,,,,
N2-L,68.6153846,,,,,,
N2-R,55.2,,,,,,
N3-L,62.0769231,,,,,,
N3-R,65.8666667,,,,,,
N4-L,79.8,,,,,,
N4-R,81.0714286,,,,,,
N5-L,67.2,,,,,,
N5-R,77.2666667,,,,,,
N6-L,81.0714286,,,,,,
N6-R,76.9285714,,,,,,
N7-L,74.6666667,,,,,,
N7-R,56.6666667,,,,,,
N8-L,70.0714286,,,,,,
N8-R,77.8666667,,,,,,
N9-L,71.1538462,,,,,,
N9-R,42.2857143,,,,,,
N10-L,73.1428571,,,,,,
N10-R,65.2857143,,,,,,
N11-L,77.3333333,,,,,,
N11-R,70.2857143,,,,,,
N12-L,59.1428571,,,,,,
N12-R,72.2,,,,,,
N13-L,64.9285714,,,,,,
N13-R,77.7333333,,,,,,
N14-L,66.3333333,,,,,,
N14-R,67.1428571,,,,,,
N15-L,46.6666667,,,,,,
N15-R,62.3846154,,,,,,
N16-L,52.0714286,,,,,,
N16-R,73.7692308,,,,,,
N17-L,77.4666667,,,,,,
N17-R,45.8,,,,,,
N18-L,71.2,,,,,,
N18-R,67.3571429,,,,,,
N19-L,80.9166667,,,,,,
N19-R,67.0769231,,,,,,
N20-L,,,,,,,
N20-R,,,,,,,
N21-L,,,,,,,
N21-R,,,,,,,
N22-L,,,,,,,
N22-R,,,,,,,
N23-L,81.3571429,,,,,,
N23-R,77.6666667,,,,,,
N24-L,,,,,,,
N24-R,,,,,,,
N25-L,,,,,,,
N25-R,,,,,,,
N26-L,,,,,,,
N26-R,,,,,,,
N27-L,,,,,,,
N27-R,,,,,,,
N28-L,,,,,,,
N28-R,,,,,,,
N50-L,57.8571429,,,,,,
